data,leite_uht_industria,leite_uht_supermercado,preco_leite_produtor
2016-02-01,2.2155782142857143,2.681590782528146,1.0456
2016-03-01,2.4030088571428574,2.847026162674655,1.1068
2016-04-01,2.472227619047619,2.996779738831342,1.1571
2016-05-01,2.7533720238095243,3.1322341830265183,1.2165
2016-06-01,3.4725222564102567,3.557591585081519,1.3813
2016-07-01,3.650254915966386,4.131786866913676,1.5768
2016-08-01,2.8282983333333336,4.216488497685406,1.5257
2016-09-01,2.140595382819795,3.7050284429161664,1.3961
2016-10-01,1.957764375,3.1318605427970354,1.2331
2016-11-01,1.9481933338720103,2.8869490483503077,1.191
2016-12-01,2.0239852602707757,2.8710708285843807,1.1885
2017-01-01,2.208834650735294,2.8844098236539835,1.2152
2017-02-01,2.3100037885154063,2.9490206037038327,1.2326
2017-03-01,2.368181565678904,3.027759453822725,1.2584
