data,populacao_pessoas,leite_uht_industria,leite_uht_supermercado,preco_leite_produtor
2014-07-01,200.811131,0.0,0.024399886823535222,-0.0007897518902248817
2014-08-01,200.94384025,-0.33228048853927794,0.02283723390275716,-0.00813880757615074
2014-09-01,201.0765495,-0.022446305652266907,0.018232768261059684,-0.0213965208302222
2014-10-01,201.20925875,-0.10284145565818437,-0.013693327132002553,-0.04377037652340997
2014-11-01,201.341968,-0.08884279106362092,-0.0682788407532946,-0.04743326934403371
2014-12-01,201.47467725,-0.04994857727319907,-0.03884478382356715,-0.05996699343684553
2015-01-01,201.6073865,-0.0465261974370581,-0.04552051530180923,-0.007606407008872135
2015-02-01,201.74009575,0.07914183865054353,-0.027165668072769433,0.020312460301837226
2015-03-01,201.872805,0.1729813566446805,0.011335509663745635,0.04436026800707195
2015-04-01,202.00551425,-0.02085154826521307,0.057891478415777686,0.042904369715834986
2015-05-01,202.1382235,0.03602429031522025,0.03256399087326256,0.021515323069151465
2015-06-01,202.27093275,0.0671777321597421,0.05007029683082309,0.023113429828225764
2015-08-01,202.52599891666665,-0.07193031653679682,0.029842723097252,0.008569732103808389
2015-09-01,202.6483558333333,-0.05099803845881168,-0.024907635706184816,-0.01154546668895758
2015-10-01,202.77071275,0.004654527652338536,-0.02367812735457686,-0.005771426924006378
2015-12-01,203.0154265833333,-0.047294323341245725,-0.013906001813786095,-0.0015515906914189345
2016-01-01,203.13778349999995,0.081914302139528,-0.011667804867682263,0.03268963748002276
2016-02-01,203.2601404166666,0.09449309134566108,0.024204688696817578,0.04649269061747155
2016-03-01,203.38249733333325,0.08120822836131614,0.05986480381606962,0.05688208560275857
2016-04-01,203.5048542499999,0.02839797164280733,0.051263293937541476,0.04444390596952097
2016-05-01,203.62721116666657,0.10770673673790643,0.04420825466432032,0.050061008341285435
2016-06-01,203.74956808333323,0.2320548539621219,0.12733724846119499,0.12704720148233686
2016-07-01,203.871925,0.04991580018726305,0.14962617395581224,0.13237239213259633
2016-08-01,203.983561,-0.25512176998400227,0.020292703267762446,-0.03294415571935394
2016-09-01,204.095197,-0.27859122855276763,-0.12931173648033956,-0.0887706861245543
2016-10-01,204.206833,-0.0892808093750761,-0.168063685047255,-0.12415131111811736
2016-11-01,204.318469,-0.004900749571435381,-0.081426998695729,-0.03473803352118468
2016-12-01,204.430105,0.038166021260577665,-0.00551518068811041,-0.0021012825550516256
2017-01-01,204.541741,0.08739660017085915,0.004635240654409234,0.022216664481314624
2017-02-01,204.653377,0.04478409548766904,0.022152804641133228,0.014217087246579552
2017-03-01,204.765013,0.024873224195571364,0.026349775322781932,0.020715313215925346
2017-04-01,204.876649,0.014961150319421135,-0.004108428044542922,0.011927942675443698
2017-05-01,204.988285,-0.017141614217370926,0.014297304700824132,-0.003697443538928258
2017-06-01,205.099921,-0.048597328970151565,-0.00873806594328519,-0.027567564130700523
2017-07-01,205.211557,-0.09025396975919142,-0.035938106805629255,-0.06597085703544758
2017-08-01,205.3213470833333,-0.06942466506320621,-0.03444756278158412,-0.06359853323629909
