,data,producao_leite,importacoes,exportacoes,oferta_total,populacao_pessoas,oferta_per_capita,taxa_desemprego,massa_salarial,leite_uht_industria,leite_uht_supermercado,preco_leite_produtor,ano,mes,cluster,oferta_sem_importacao,diferenca_percentual,importacao_sobre_oferta_total,importacao%_oferta_total
120,2017-01-01,2100.937,151.7384018,10.85338815,2241.8220136499995,204.541741,10.960217717370458,0.127,200723.0,2.208834650735294,2.8844098236539835,1.2152,2017,1,0,0.8559528362151436,1298.0740364473188,6.768530279214659,6.768530279214659
121,2017-02-01,1832.768,132.59525491666668,18.949290899999998,1946.4139640166666,204.653377,9.510783513807674,0.133,201833.0,2.3100037885154063,2.9490206037038327,1.2326,2017,2,0,0.7462895013291995,599.7372915767877,6.8122844044460065,6.8122844044460065
122,2017-03-01,1927.871,116.44628340000001,14.563819983333333,2029.7534634166668,204.765013,9.912599001552412,0.139,197240.0,2.3681815656789036,3.027759453822725,1.2584,2017,3,0,0.7845867529462499,699.5586565424442,5.736966853303798,5.736966853303798
123,2017-04-01,1811.659,99.82316915000001,5.5394632999999995,1905.94270585,204.876649,9.302879147784187,0.13699999999999998,181476.0,2.40387865497076,3.0153456400620517,1.2735,2017,4,0,0.7368901437534414,1702.0368354096693,5.237469565250206,5.237469565250206
124,2017-05-01,1906.924,120.04617041666667,6.955586286666667,2020.01458413,204.988285,9.85429281546504,0.134,181445.0,2.363023456849845,3.058766617278945,1.2688,2017,5,0,0.7752166585194531,1625.8957831748287,5.94283681710988,5.94283681710988
125,2017-06-01,1929.359,125.81868469999999,18.839748826666664,2036.3379358733334,205.099921,9.928516432111808,0.131,181800.0,2.2509325475113124,3.0321553477086183,1.2343,2017,6,0,0.7839101833036136,567.8363170209059,6.178674103325565,6.178674103325565
126,2017-07-01,2058.47,117.53520771666666,7.066098103333333,2168.939109613333,205.211557,10.569283432771446,0.129,183298.0,2.056675051510989,2.925120263934504,1.1555,2017,7,0,0.8359137719844241,1563.3679011790266,5.419018320787263,5.419018320787263
127,2017-08-01,2117.707,103.93393164999999,7.094622763333333,2214.5463088866663,205.32134708333334,10.785757741925652,0.127,184826.0,1.9187347051943582,2.826072766677418,1.0843,2017,8,0,0.8595091832400046,1364.9676961988002,4.693238124347528,4.693238124347528
128,2017-09-01,2103.114,77.84155098333332,6.737895443333333,2174.21765554,205.43113716666667,10.583681157233984,0.125,186354.0,1.7800951286764706,2.6943777757502505,1.0052,2017,9,0,0.8531301652573321,1055.2798887722722,3.5802096807092747,3.5802096807092747
129,2017-10-01,2140.711,72.40250178333334,7.107392689999999,2206.006109093333,205.54092725000004,10.7326854004612,0.12300000000000001,187424.0,1.8959426120448182,2.5666992960907735,1.0003,2017,10,0,0.8679175759305293,918.6928588482614,3.2820626146448304,3.2820626146448304
130,2017-11-01,2153.746,76.51531326666667,24.95155903666667,2205.3097542299997,205.65071733333338,10.723569471705154,0.121,188825.0,1.9343059507223945,2.5535423954990124,1.001,2017,11,0,0.872736237736634,206.6554404645671,3.469594832195469,3.469594832195469
131,2017-12-01,2250.245,75.43321970000001,7.819137419999999,2317.8590822799997,205.7605074166667,11.264839455252295,0.11900000000000001,196383.0,1.756137132352941,2.544078967381293,0.9832,2017,12,0,0.9113528102209444,864.7255911765267,3.2544351068054964,3.2544351068054964
